"Visitor arrival totals (Monthly)","","","",""
"","Actual Counts","Seasonally Adjusted","Trend","Counts Derived from a Sample"
"1956M11",3903,"..","..",3903
"1956M12",3277,"..","..",3277
"1957M01",3368,"..","..",3368
"1957M02",3162,"..","..",3162
"1957M03",2955,"..","..",2955
"1957M04",2062,"..","..",2062
"1957M05",1330,"..","..",1330
"1957M06",1271,"..","..",1271
"1957M07",1373,"..","..",1373
"1957M08",1540,"..","..",1540
"1957M09",2056,"..","..",2056
"1957M10",2714,"..","..",2714
"1957M11",2824,"..","..",2824
"1957M12",4407,"..","..",4407
"1958M01",3318,"..","..",3318
"1958M02",3619,"..","..",3619
"1958M03",3258,"..","..",3258
"1958M04",2687,"..","..",2687
"1958M05",1413,"..","..",1413
"1958M06",1202,"..","..",1202
"1958M07",1262,"..","..",1262
"1958M08",1597,"..","..",1597
"1958M09",2377,"..","..",2377
"1958M10",2371,"..","..",2371
"1958M11",2753,"..","..",2753
"1958M12",4923,"..","..",4923
"1959M01",3770,"..","..",3770
"1959M02",3817,"..","..",3817
"1959M03",3001,"..","..",3001
"1959M04",2238,"..","..",2238
"1959M05",1551,"..","..",1551
"1959M06",1351,"..","..",1351
"1959M07",1515,"..","..",1515
"1959M08",1787,"..","..",1787
"1959M09",2931,"..","..",2931
"1959M10",3367,"..","..",3367
"1959M11",3482,"..","..",3482
"1959M12",5395,"..","..",5395
"1960M01",4391,"..","..",4391
"1960M02",4598,"..","..",4598
"1960M03",3951,"..","..",3951
"1960M04",2453,"..","..",2453
"1960M05",1783,"..","..",1783
"1960M06",1568,"..","..",1568
"1960M07",1599,"..","..",1599
"1960M08",1944,"..","..",1944
"1960M09",2874,"..","..",2874
"1960M10",3862,"..","..",3862
"1960M11",3952,"..","..",3952
"1960M12",6159,"..","..",6159
"1961M01",5213,"..","..",5213
"1961M02",5171,"..","..",5171
"1961M03",4346,"..","..",4346
"1961M04",2921,"..","..",2921
"1961M05",2504,"..","..",2504
"1961M06",1966,"..","..",1966
"1961M07",2128,"..","..",2128
"1961M08",3166,"..","..",3166
"1961M09",3682,"..","..",3682
"1961M10",5567,"..","..",5567
"1961M11",5184,"..","..",5184
"1961M12",7181,"..","..",7181
"1962M01",6185,"..","..",6185
"1962M02",6601,"..","..",6601
"1962M03",4603,"..","..",4603
"1962M04",3351,"..","..",3351
"1962M05",2936,"..","..",2936
"1962M06",2336,"..","..",2336
"1962M07",2485,"..","..",2485
"1962M08",3026,"..","..",3026
"1962M09",4107,"..","..",4107
"1962M10",6172,"..","..",6172
"1962M11",6798,"..","..",6798
"1962M12",8325,"..","..",8325
"1963M01",7241,"..","..",7241
"1963M02",6584,"..","..",6584
"1963M03",5524,"..","..",5524
"1963M04",3754,"..","..",3754
"1963M05",3268,"..","..",3268
"1963M06",2690,"..","..",2690
"1963M07",2720,"..","..",2720
"1963M08",4071,"..","..",4071
